               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.053856,             0.02247,            0.062156,             0.48902,             0.36925,             0.41915,             0.24022,            0.028312,           0.0072346,            0.036947,            0.003331,            0.003331,            0.070021
                   1,            0.041817,            0.019096,            0.045857,             0.51944,             0.57853,             0.52628,             0.28407,            0.029986,           0.0067088,            0.024597,           0.0062245,           0.0062245,            0.039581
                   2,            0.042115,            0.019729,            0.041713,             0.53882,             0.53195,             0.53809,              0.2887,            0.030306,           0.0074855,            0.022107,            0.008678,            0.008678,           0.0087013
                   3,            0.039771,            0.020434,            0.041481,             0.63495,             0.55152,             0.60312,             0.32739,            0.029649,           0.0075344,            0.020081,             0.00802,             0.00802,             0.00802
                   4,            0.038211,            0.020505,            0.038246,             0.64352,             0.61296,             0.65776,             0.36064,            0.027964,           0.0072861,            0.013963,             0.00802,             0.00802,             0.00802
                   5,            0.035881,            0.019862,            0.033928,             0.70356,             0.62778,             0.67859,             0.38321,            0.027742,           0.0072566,            0.013334,             0.00736,             0.00736,             0.00736
                   6,            0.035002,            0.019568,             0.03223,             0.73796,             0.69211,             0.73989,              0.4376,            0.025928,           0.0068596,            0.010766,              0.0067,              0.0067,              0.0067
                   7,            0.034626,            0.019637,            0.030914,              0.7287,             0.68514,               0.739,             0.44398,            0.025515,           0.0069097,            0.011148,             0.00604,             0.00604,             0.00604
                   8,            0.033261,            0.019252,            0.028743,             0.73539,              0.7194,             0.73836,             0.44874,            0.026215,           0.0068244,           0.0083411,             0.00538,             0.00538,             0.00538
                   9,            0.032158,            0.019028,            0.027851,             0.75121,             0.74944,             0.76404,             0.46712,               0.025,           0.0069158,           0.0079014,             0.00472,             0.00472,             0.00472
                  10,            0.031283,             0.01827,            0.024835,             0.76517,             0.74009,             0.77283,             0.47417,            0.024859,           0.0066019,           0.0079115,             0.00406,             0.00406,             0.00406
                  11,            0.030999,            0.018785,            0.024103,             0.79488,             0.78209,             0.80718,             0.51402,            0.023283,           0.0064667,           0.0072983,              0.0034,              0.0034,              0.0034
                  12,             0.03005,             0.01825,            0.023081,             0.79786,             0.79843,             0.82122,             0.52281,            0.022808,           0.0064505,           0.0050067,             0.00274,             0.00274,             0.00274
                  13,            0.028901,            0.017783,             0.02103,             0.82124,             0.78846,             0.84881,             0.56263,            0.021758,           0.0061298,           0.0059202,             0.00208,             0.00208,             0.00208
                  14,            0.027741,            0.018019,            0.020103,             0.83749,             0.80295,             0.85391,             0.56664,            0.021765,           0.0061706,           0.0047442,             0.00142,             0.00142,             0.00142
