               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055228,            0.022526,            0.066343,             0.61719,             0.29234,             0.32978,             0.18456,            0.029504,           0.0073016,            0.039196,            0.003331,            0.003331,            0.070021
                   1,             0.04125,            0.019062,            0.049071,             0.47804,             0.56398,             0.54942,             0.29669,            0.029454,           0.0068328,            0.024108,           0.0065818,           0.0065818,            0.039939
                   2,            0.042283,            0.019714,            0.043676,             0.41563,              0.4914,             0.44102,             0.24199,            0.033019,           0.0086347,            0.022666,           0.0097502,           0.0097502,           0.0097738
                   3,            0.040727,            0.020526,            0.043831,             0.55584,               0.516,             0.51733,             0.28591,             0.03104,           0.0075991,            0.021711,           0.0096288,           0.0096288,           0.0096288
                   4,            0.039201,            0.020669,             0.04112,             0.55308,             0.55796,             0.53025,             0.28614,            0.029356,           0.0076619,            0.018216,           0.0096288,           0.0096288,           0.0096288
                   5,            0.038411,            0.020561,            0.038355,             0.55934,             0.55711,             0.55494,                0.31,            0.029108,           0.0075991,            0.017455,            0.009505,            0.009505,            0.009505
                   6,            0.036736,            0.020075,            0.036802,             0.55816,             0.59974,             0.57587,               0.332,            0.027866,           0.0074307,            0.015224,           0.0093813,           0.0093813,           0.0093813
                   7,            0.035658,            0.019846,            0.035829,             0.63293,             0.67586,             0.65398,             0.37922,            0.027812,           0.0070096,            0.014014,           0.0092575,           0.0092575,           0.0092575
                   8,            0.035411,             0.01975,            0.034584,             0.64574,             0.66363,             0.66241,             0.37806,            0.026422,           0.0068489,              0.0119,           0.0091337,           0.0091337,           0.0091337
                   9,            0.034558,            0.019421,            0.033293,             0.60367,             0.66452,             0.65753,             0.39228,            0.026724,           0.0069728,            0.011343,             0.00901,             0.00901,             0.00901
                  10,            0.034072,            0.019376,            0.031943,             0.61819,               0.672,             0.66223,             0.38561,            0.027224,           0.0071776,            0.011715,           0.0088863,           0.0088863,           0.0088863
                  11,            0.033425,            0.019323,            0.031556,              0.6127,             0.67154,             0.66193,             0.37771,            0.027474,           0.0073998,            0.011683,           0.0087625,           0.0087625,           0.0087625
                  12,            0.033893,            0.019169,            0.030466,             0.58836,             0.68313,             0.65352,             0.39182,            0.026139,           0.0071046,           0.0098573,           0.0086388,           0.0086388,           0.0086388
                  13,            0.033336,            0.018976,            0.029633,             0.61741,              0.7234,             0.71112,             0.43175,            0.025824,           0.0067499,            0.010204,            0.008515,            0.008515,            0.008515
                  14,            0.033157,            0.018744,            0.029176,             0.65581,             0.71085,             0.70934,             0.42667,            0.025723,           0.0066726,           0.0087383,           0.0083913,           0.0083913,           0.0083913
                  15,            0.032575,            0.018598,            0.028033,             0.65409,             0.71128,             0.71654,             0.43962,            0.025867,           0.0066677,           0.0085202,           0.0082675,           0.0082675,           0.0082675
                  16,            0.032416,            0.018805,            0.027962,             0.64128,             0.67508,             0.69872,             0.41886,            0.025574,           0.0068034,           0.0093217,           0.0081437,           0.0081437,           0.0081437
                  17,             0.03245,            0.018641,            0.026483,             0.64801,             0.68924,             0.71036,              0.4411,             0.02481,           0.0066065,           0.0088089,             0.00802,             0.00802,             0.00802
                  18,            0.031793,            0.018866,            0.026626,             0.64721,             0.72467,             0.71011,             0.44353,            0.024416,           0.0065391,           0.0087061,           0.0078963,           0.0078963,           0.0078963
                  19,            0.031628,            0.018656,            0.025116,             0.68835,             0.69005,             0.71682,              0.4473,            0.024453,           0.0067297,           0.0089331,           0.0077725,           0.0077725,           0.0077725
                  20,            0.031556,            0.018815,            0.025939,             0.70128,             0.73298,             0.74918,             0.47317,            0.024237,           0.0065388,            0.007006,           0.0076488,           0.0076488,           0.0076488
                  21,             0.03102,            0.018315,            0.024852,             0.65822,             0.74479,             0.71855,             0.44388,            0.024726,           0.0065824,           0.0082972,            0.007525,            0.007525,            0.007525
