               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054113,            0.022804,            0.059985,             0.47547,             0.34616,             0.38087,             0.21708,            0.028478,             0.00732,            0.035914,           0.0033311,           0.0033311,             0.07002
                   1,            0.040546,             0.01932,             0.04506,             0.66731,             0.55739,               0.566,             0.32306,            0.028457,           0.0068382,            0.022305,           0.0064445,           0.0064445,            0.039801
                   2,            0.040887,            0.020122,            0.040728,             0.53728,             0.52244,             0.51647,             0.27521,            0.031642,           0.0072253,             0.02178,           0.0093379,           0.0093379,           0.0093606
                   3,            0.039908,            0.020933,            0.041489,             0.64069,             0.50401,             0.55914,             0.29817,            0.031254,           0.0075986,            0.019593,             0.00901,             0.00901,             0.00901
                   4,            0.038322,            0.020553,            0.039225,             0.59837,             0.63175,             0.63648,             0.35436,            0.028077,           0.0073464,            0.014028,             0.00901,             0.00901,             0.00901
                   5,            0.036168,            0.019876,            0.035181,             0.67673,              0.6371,              0.6586,             0.35904,            0.028829,            0.007417,             0.01464,             0.00868,             0.00868,             0.00868
                   6,             0.03561,              0.0203,             0.03468,             0.66732,             0.63252,             0.68381,             0.39617,            0.026511,           0.0076942,            0.014032,             0.00835,             0.00835,             0.00835
                   7,            0.034512,            0.020009,            0.032295,             0.73637,             0.66839,             0.72734,             0.42377,            0.025636,            0.007148,            0.010362,             0.00802,             0.00802,             0.00802
                   8,            0.033441,             0.01943,            0.030964,             0.72521,              0.7016,             0.74851,             0.43499,            0.026048,           0.0069015,           0.0093572,             0.00769,             0.00769,             0.00769
                   9,            0.033364,             0.01938,            0.029538,             0.66584,             0.68601,             0.71458,             0.43886,            0.026599,           0.0070528,             0.01065,             0.00736,             0.00736,             0.00736
                  10,            0.033157,            0.019441,            0.028792,             0.70779,              0.7089,             0.72976,             0.42591,            0.026336,           0.0069577,           0.0095594,             0.00703,             0.00703,             0.00703
                  11,            0.032698,            0.019137,            0.027499,             0.75411,             0.70825,             0.75407,             0.46582,            0.025662,           0.0069152,           0.0093283,              0.0067,              0.0067,              0.0067
                  12,            0.032129,            0.018923,            0.026054,             0.76493,             0.77419,             0.78848,              0.4866,             0.02455,           0.0067316,           0.0070405,             0.00637,             0.00637,             0.00637
                  13,            0.031545,            0.018831,            0.025976,             0.78318,             0.75841,             0.80752,              0.4987,            0.024499,           0.0066571,           0.0064689,             0.00604,             0.00604,             0.00604
                  14,            0.030981,            0.018555,             0.02422,             0.79818,             0.75833,             0.81775,             0.51091,            0.023633,           0.0066589,           0.0067855,             0.00571,             0.00571,             0.00571
                  15,            0.030464,            0.018686,            0.023563,             0.82006,             0.77662,              0.8311,             0.53901,            0.023302,           0.0064091,           0.0061745,             0.00538,             0.00538,             0.00538
                  16,            0.030306,            0.018404,            0.022809,             0.84469,             0.77108,             0.84088,             0.54154,            0.022824,            0.006317,            0.004514,             0.00505,             0.00505,             0.00505
                  17,            0.029896,            0.018373,            0.021872,             0.82606,             0.75939,             0.82281,             0.52265,            0.023549,           0.0065547,           0.0062388,             0.00472,             0.00472,             0.00472
                  18,            0.029578,            0.018203,            0.021727,             0.83302,             0.79012,             0.84714,             0.53385,             0.02269,           0.0063374,           0.0046594,             0.00439,             0.00439,             0.00439
                  19,             0.02952,            0.018392,            0.020609,             0.84101,             0.76127,             0.83036,             0.53496,            0.023387,           0.0063501,           0.0058532,             0.00406,             0.00406,             0.00406
                  20,            0.028503,            0.017811,            0.020364,             0.84838,             0.79006,             0.84999,             0.55471,            0.022952,           0.0062927,           0.0046558,             0.00373,             0.00373,             0.00373
                  21,            0.027969,            0.017557,              0.0197,             0.83521,             0.78905,              0.8409,             0.54672,            0.022738,           0.0062196,           0.0050373,              0.0034,              0.0034,              0.0034
                  22,            0.028035,            0.017483,            0.017933,             0.83769,             0.81427,             0.86035,             0.55853,            0.022213,           0.0061276,           0.0048484,             0.00307,             0.00307,             0.00307
                  23,            0.027796,            0.017591,            0.017833,             0.87867,             0.80436,             0.86905,             0.57815,            0.022186,           0.0060168,           0.0041629,             0.00274,             0.00274,             0.00274
                  24,            0.027023,            0.017054,             0.01755,             0.86357,             0.82517,             0.86897,             0.57724,            0.021776,           0.0060557,            0.004089,             0.00241,             0.00241,             0.00241
                  25,            0.026562,            0.016999,             0.01656,              0.8742,             0.81435,               0.871,             0.58994,            0.021806,           0.0059768,           0.0041822,             0.00208,             0.00208,             0.00208
                  26,            0.026177,             0.01699,            0.016236,              0.8609,             0.83752,             0.87158,             0.58982,            0.021426,           0.0060044,           0.0036876,             0.00175,             0.00175,             0.00175
                  27,            0.025926,            0.016805,            0.016079,             0.86588,             0.83928,             0.87885,             0.58603,            0.021202,           0.0060534,           0.0039924,             0.00142,             0.00142,             0.00142
                  28,            0.025865,            0.016838,            0.015647,             0.90031,             0.83056,             0.88799,             0.60241,            0.020931,           0.0059642,            0.003694,             0.00109,             0.00109,             0.00109
                  29,            0.025344,            0.016594,            0.014576,             0.88216,              0.8354,             0.88574,             0.60145,            0.020922,           0.0059786,           0.0034702,             0.00076,             0.00076,             0.00076
